Inference - 2020-08-03 21:27:23
save_image: False
border: False
model_path: ../pretrain_models/CDVD_TSP_GOPRO.pt
data_path: ../dataset/GOPRO/test
result_path: ../infer_results/GOPRO
n_seq: 5
size_must_mode: 4
device: cuda
Loading model from ../pretrain_models/CDVD_TSP_GOPRO.pt
> GOPR0384_11_05-004057 PSNR=33.629, SSIM=0.9604 pre_time:0.228s, forward_time:2.06s, post_time:1.19s, total_time:3.48s
> GOPR0384_11_05-004058 PSNR=34.431, SSIM=0.9668 pre_time:0.231s, forward_time:2.05s, post_time:1.22s, total_time:3.5s
> GOPR0384_11_05-004059 PSNR=34.295, SSIM=0.9622 pre_time:0.23s, forward_time:2.06s, post_time:1.17s, total_time:3.46s
> GOPR0384_11_05-004060 PSNR=34.068, SSIM=0.9601 pre_time:0.228s, forward_time:2.08s, post_time:1.19s, total_time:3.49s
> GOPR0384_11_05-004061 PSNR=34.134, SSIM=0.9612 pre_time:0.228s, forward_time:2.07s, post_time:1.17s, total_time:3.47s
> GOPR0384_11_05-004062 PSNR=34.641, SSIM=0.9625 pre_time:0.23s, forward_time:2.08s, post_time:1.17s, total_time:3.48s
> GOPR0384_11_05-004063 PSNR=34.078, SSIM=0.9552 pre_time:0.226s, forward_time:2.08s, post_time:1.18s, total_time:3.49s
> GOPR0384_11_05-004064 PSNR=32.541, SSIM=0.9418 pre_time:0.228s, forward_time:2.07s, post_time:1.18s, total_time:3.48s
> GOPR0384_11_05-004065 PSNR=32.211, SSIM=0.9494 pre_time:0.227s, forward_time:2.07s, post_time:1.17s, total_time:3.47s
> GOPR0384_11_05-004066 PSNR=34.061, SSIM=0.9559 pre_time:0.231s, forward_time:2.08s, post_time:1.19s, total_time:3.5s
> GOPR0384_11_05-004067 PSNR=34.471, SSIM=0.9624 pre_time:0.228s, forward_time:2.06s, post_time:1.19s, total_time:3.48s
> GOPR0384_11_05-004068 PSNR=33.774, SSIM=0.9609 pre_time:0.228s, forward_time:2.06s, post_time:1.19s, total_time:3.48s
> GOPR0384_11_05-004069 PSNR=34.557, SSIM=0.9663 pre_time:0.231s, forward_time:2.07s, post_time:1.19s, total_time:3.49s
> GOPR0384_11_05-004070 PSNR=33.114, SSIM=0.9566 pre_time:0.228s, forward_time:2.06s, post_time:1.19s, total_time:3.48s
> GOPR0384_11_05-004071 PSNR=32.671, SSIM=0.9399 pre_time:0.229s, forward_time:2.08s, post_time:1.18s, total_time:3.49s
> GOPR0384_11_05-004072 PSNR=33.572, SSIM=0.9555 pre_time:0.227s, forward_time:2.06s, post_time:1.2s, total_time:3.49s
