Inference - 2021-07-09 19:15:28
save_image: False
border: False
model_path: ..\pretrain_models\CDVD_TSP_DVD_OCLR_S3_720.pt
data_path: ..\dataset\DVD\test
result_path: ..\infer_results\DVD_OCLR_S3
n_seq: 3
size_must_mode: 4
device: cuda
Loading model from ..\pretrain_models\CDVD_TSP_DVD_OCLR_S3_720.pt
> IMG_0003-00043 PSNR=28.58, SSIM=0.9042 pre_time:0.17s, forward_time:0.269s, post_time:2.07s, total_time:2.51s
> IMG_0003-00044 PSNR=28.638, SSIM=0.9098 pre_time:0.147s, forward_time:0.279s, post_time:2.12s, total_time:2.54s
> IMG_0003-00045 PSNR=28.631, SSIM=0.9096 pre_time:0.151s, forward_time:0.277s, post_time:2.06s, total_time:2.49s
> IMG_0003-00046 PSNR=28.065, SSIM=0.9046 pre_time:0.141s, forward_time:0.273s, post_time:2.06s, total_time:2.48s
> IMG_0003-00047 PSNR=28.147, SSIM=0.905 pre_time:0.15s, forward_time:0.284s, post_time:2.02s, total_time:2.46s
> IMG_0003-00048 PSNR=28.634, SSIM=0.9055 pre_time:0.158s, forward_time:0.28s, post_time:2.06s, total_time:2.5s
> IMG_0003-00049 PSNR=28.383, SSIM=0.901 pre_time:0.159s, forward_time:0.289s, post_time:2.09s, total_time:2.54s
> IMG_0003-00050 PSNR=27.919, SSIM=0.8963 pre_time:0.148s, forward_time:0.281s, post_time:2.05s, total_time:2.48s
> IMG_0003-00051 PSNR=27.931, SSIM=0.8878 pre_time:0.169s, forward_time:0.279s, post_time:2.07s, total_time:2.52s
> IMG_0003-00052 PSNR=26.942, SSIM=0.869 pre_time:0.174s, forward_time:0.277s, post_time:2.02s, total_time:2.47s
> IMG_0003-00053 PSNR=27.87, SSIM=0.8928 pre_time:0.145s, forward_time:0.267s, post_time:2.1s, total_time:2.51s
> IMG_0003-00054 PSNR=28.094, SSIM=0.8915 pre_time:0.141s, forward_time:0.276s, post_time:2.07s, total_time:2.49s
> IMG_0003-00055 PSNR=26.47, SSIM=0.8595 pre_time:0.146s, forward_time:0.265s, post_time:2.07s, total_time:2.48s
> IMG_0003-00056 PSNR=27.588, SSIM=0.8844 pre_time:0.146s, forward_time:0.278s, post_time:2.02s, total_time:2.45s
> IMG_0003-00057 PSNR=28.547, SSIM=0.9067 pre_time:0.152s, forward_time:0.278s, post_time:2.01s, total_time:2.44s
> IMG_0003-00058 PSNR=27.557, SSIM=0.8953 pre_time:0.161s, forward_time:0.269s, post_time:2.06s, total_time:2.49s
> IMG_0003-00059 PSNR=27.727, SSIM=0.8942 pre_time:0.162s, forward_time:0.289s, post_time:2.08s, total_time:2.54s
> IMG_0003-00060 PSNR=28.71, SSIM=0.9112 pre_time:0.154s, forward_time:0.28s, post_time:2.03s, total_time:2.46s
> IMG_0003-00061 PSNR=28.017, SSIM=0.9043 pre_time:0.143s, forward_time:0.274s, post_time:2.04s, total_time:2.45s
> IMG_0003-00062 PSNR=27.108, SSIM=0.8837 pre_time:0.158s, forward_time:0.269s, post_time:2.07s, total_time:2.5s
> IMG_0003-00063 PSNR=26.865, SSIM=0.8746 pre_time:0.15s, forward_time:0.286s, post_time:2.08s, total_time:2.52s
> IMG_0003-00064 PSNR=26.915, SSIM=0.8804 pre_time:0.143s, forward_time:0.268s, post_time:2.12s, total_time:2.53s
> IMG_0003-00065 PSNR=25.818, SSIM=0.8589 pre_time:0.144s, forward_time:0.276s, post_time:2.09s, total_time:2.51s
> IMG_0003-00066 PSNR=25.463, SSIM=0.8381 pre_time:0.146s, forward_time:0.265s, post_time:2.05s, total_time:2.46s
> IMG_0003-00067 PSNR=25.843, SSIM=0.8494 pre_time:0.161s, forward_time:0.279s, post_time:2.08s, total_time:2.52s
> IMG_0003-00068 PSNR=26.603, SSIM=0.8717 pre_time:0.185s, forward_time:0.273s, post_time:2.08s, total_time:2.54s
> IMG_0003-00069 PSNR=27.121, SSIM=0.8807 pre_time:0.162s, forward_time:0.278s, post_time:2.12s, total_time:2.56s
> IMG_0003-00070 PSNR=27.498, SSIM=0.8922 pre_time:0.154s, forward_time:0.286s, post_time:2.02s, total_time:2.46s
> IMG_0003-00071 PSNR=28.612, SSIM=0.9099 pre_time:0.151s, forward_time:0.264s, post_time:2.09s, total_time:2.5s
> IMG_0003-00072 PSNR=28.41, SSIM=0.91 pre_time:0.144s, forward_time:0.272s, post_time:2.04s, total_time:2.45s
> IMG_0003-00073 PSNR=28.428, SSIM=0.913 pre_time:0.139s, forward_time:0.27s, post_time:2.01s, total_time:2.42s
> IMG_0003-00074 PSNR=28.469, SSIM=0.9112 pre_time:0.157s, forward_time:0.268s, post_time:2.08s, total_time:2.5s
> IMG_0003-00075 PSNR=28.842, SSIM=0.9162 pre_time:0.154s, forward_time:0.274s, post_time:2.07s, total_time:2.5s
> IMG_0003-00076 PSNR=28.397, SSIM=0.9078 pre_time:0.156s, forward_time:0.284s, post_time:2.03s, total_time:2.47s
> IMG_0003-00077 PSNR=27.15, SSIM=0.88 pre_time:0.15s, forward_time:0.269s, post_time:2.07s, total_time:2.49s
> IMG_0003-00078 PSNR=27.6, SSIM=0.874 pre_time:0.153s, forward_time:0.279s, post_time:2.06s, total_time:2.49s
> IMG_0003-00079 PSNR=28.211, SSIM=0.8833 pre_time:0.153s, forward_time:0.279s, post_time:2.16s, total_time:2.59s
> IMG_0003-00080 PSNR=29.096, SSIM=0.9037 pre_time:0.15s, forward_time:0.268s, post_time:2.04s, total_time:2.46s
> IMG_0003-00081 PSNR=29.774, SSIM=0.9163 pre_time:0.153s, forward_time:0.274s, post_time:2.12s, total_time:2.55s
> IMG_0003-00082 PSNR=29.12, SSIM=0.9113 pre_time:0.146s, forward_time:0.273s, post_time:2.03s, total_time:2.45s
